State,Household Income

USA,69717
Maryland,90203
Massachusetts,89645
New Jersey,89296
New Hampshire,88465
California,84907
Hawaii,84857
Washington,84247
Connecticut,83771
Colorado,82254
Virginia,80963
Utah,79449
Alaska,77845
Minnesota,77720
New York,74314
Rhode Island,74008
Vermont,72431
Illinois,72205
Oregon,71562
Delaware,71091
Arizona,69056
Pennsylvania,68957
Wisconsin,67125
Texas,66963
Nebraska,66817
Georgia,66559
North Dakota,66519
Idaho,66474
Nevada,66274
South Dakota,66143
Iowa,65600
Wyoming,65204
Maine,64767
Kansas,64124
Michigan,63498
Montana,63249
Florida,63062
Indiana,62743
Ohio,62262
North Carolina,61972
Missouri,61847
Tennessee,59695
South Carolina,59318
Oklahoma,55826
Kentucky,55573
New Mexico,53992
Alabama,53913
Arkansas,52528
Louisiana,52087
West Virginia,51248
Mississippi,48716