Job,average_salary

Average of all Occupations,"65470"
Top Executives,"136100"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","159960"
Operations Specialties Managers,"155150"
Other Management Occupations,"118370"
Business Operations Specialists,"88040"
Financial Specialists,"96460"
Computer Occupations,"113270"
Mathematical Science Occupations,"111340"
"Architects, Surveyors, and Cartographers","90430"
Engineers,"111890"
"Drafters, Engineering Technicians, and Mapping Technicians","67700"
Life Scientists,"100630"
Physical Scientists,"101110"
Social Scientists and Related Workers,"99260"
"Life, Physical, and Social Science Technicians","59970"
"Counselors, Social Workers, and Other Community and Social Service Specialists","58910"
Religious Workers,"60800"
"Lawyers, Judges, and Related Workers","171480"
Legal Support Workers,"67290"
Postsecondary Teachers,"101750"
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","68890"
Other Teachers and Instructors,"50650"
"Librarians, Curators, and Archivists","59680"
Other Educational Instruction and Library Occupations,"43220"
Art and Design Workers,"65190"
"Entertainers and Performers, Sports and Related Workers","85310"
Media and Communication Workers,"81400"
Media and Communication Equipment Workers,"65880"
Healthcare Diagnosing or Treating Practitioners,"124800"
Health Technologists and Technicians,"56950"
Other Healthcare Practitioners and Technical Occupations,"68300"
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides","35120"
Occupational Therapy and Physical Therapist Assistants and Aides,"59180"
Other Healthcare Support Occupations,"44930"
Supervisors of Protective Service Workers,"87710"
Firefighting and Prevention Workers,"61340"
Law Enforcement Workers,"72370"
Other Protective Service Workers,"40620"
Cooks and Food Preparation Workers,"34010"
Food and Beverage Serving Workers,"33060"
Other Food Preparation and Serving Related Workers,"31970"
Building Cleaning and Pest Control Workers,"36100"
Supervisors of Personal Care and Service Workers,"51690"
Animal Care and Service Workers,"34290"
Entertainment Attendants and Related Workers,"32250"
Funeral Service Workers,"45520"
Personal Appearance Workers,"41510"
Other Personal Care and Service Workers,"38340"
Retail Sales Workers,"34520"
"Sales Representatives, Services","85860"
Other Sales and Related Workers,"66760"
Communications Equipment Operators,"40570"
Financial Clerks,"47860"
Information and Record Clerks,"42610"
"Material Recording, Scheduling, Dispatching, and Distributing Workers","50430"
Other Office and Administrative Support Workers,"43970"
Agricultural Workers,"37370"
"Forest, Conservation, and Logging Workers","49270"
Construction Trades Workers,"59350"
Other Construction and Related Workers,"60050"
Extraction Workers,"56610"
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers","62090"
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","55760"
"Other Installation, Maintenance, and Repair Occupations","55620"
Assemblers and Fabricators,"43470"
Food Processing Workers,"38220"
Metal Workers and Plastic Workers,"49350"
"Textile, Apparel, and Furnishings Workers","35210"
Woodworkers,"42210"
Plant and System Operators,"72810"
Other Production Occupations,"46710"
Air Transportation Workers,"140030"
Motor Vehicle Operators,"49830"
Rail Transportation Workers,"72150"
Water Transportation Workers,"79030"
Other Transportation Workers,"40110"
Material Moving Workers,"39620"
Management Occupations,"137750"
Business and Financial Operations Occupations,"90580"
Computer and Mathematical Occupations,"113140"
Architecture and Engineering Occupations,"99090"
"Life, Physical, and Social Science Occupations","87870"
Community and Social Service Occupations,"58980"
Legal Occupations,"133820"
Educational Instruction and Library Occupations,"66400"
"Arts, Design, Entertainment, Sports, and Media Occupations","75520"
Healthcare Practitioners and Technical Occupations,"102060"
Healthcare Support Occupations,"38220"
Protective Service Occupations,"57710"
Food Preparation and Serving Related Occupations,"34490"
Building and Grounds Cleaning and Maintenance Occupations,"38320"
Personal Care and Service Occupations,"38430"
Sales and Related Occupations,"53280"
Office and Administrative Support Occupations,"47940"
"Farming, Fishing, and Forestry Occupations","39970"
Construction and Extraction Occupations,"61500"
"Installation, Maintenance, and Repair Occupations","58500"
Production Occupations,"47620"
Transportation and Material Moving Occupations,"46690"
Chief Executives,"258900"
General and Operations Managers,"129330"
Legislators,"68140"
Advertising and Promotions Managers,"152620"
Marketing Managers,"166410"
Sales Managers,"157610"
Public Relations Managers,"159420"
Fundraising Managers,"133620"
Administrative Services Managers,"121200"
Facilities Managers,"111110"
Computer and Information Systems Managers,"180720"
Financial Managers,"174820"
Industrial Production Managers,"125900"
Purchasing Managers,"146710"
"Transportation, Storage, and Distribution Managers","111870"
Compensation and Benefits Managers,"150940"
Human Resources Managers,"154740"
Training and Development Managers,"138450"
"Farmers, Ranchers, and Other Agricultural Managers","90160"
Construction Managers,"116960"
"Education and Childcare Administrators, Preschool and Daycare","61320"
"Education Administrators, Kindergarten through Secondary","111020"
"Education Administrators, Postsecondary","122010"
"Education Administrators, All Other","100720"
Architectural and Engineering Managers,"172290"
Food Service Managers,"69580"
Gambling Managers,"98270"
"Entertainment and Recreation Managers, Except Gambling","84080"
Lodging Managers,"76790"
Medical and Health Services Managers,"134440"
Natural Sciences Managers,"169120"
Postmasters and Mail Superintendents,"89770"
"Property, Real Estate, and Community Association Managers","78400"
Social and Community Service Managers,"83400"
Emergency Management Directors,"93690"
Funeral Home Managers,"84800"
"Personal Service Managers, All Other","62980"
"Managers, All Other","146320"
"Agents and Business Managers of Artists, Performers, and Athletes","132810"
"Claims Adjusters, Examiners, and Investigators","75770"
"Insurance Appraisers, Auto Damage","75660"
Compliance Officers,"80190"
Cost Estimators,"79520"
Human Resources Specialists,"76060"
Farm Labor Contractors,"51400"
Labor Relations Specialists,"94620"
Logisticians,"84640"
Project Management Specialists,"104920"
Management Analysts,"115530"
"Meeting, Convention, and Event Planners","62280"
Fundraisers,"70760"
"Compensation, Benefits, and Job Analysis Specialists","80620"
Training and Development Specialists,"71980"
Market Research Analysts and Marketing Specialists,"83190"
"Business Operations Specialists, All Other","89130"
Accountants and Auditors,"90780"
Budget Analysts,"90880"
Credit Analysts,"94750"
Financial and Investment Analysts,"112950"
Personal Financial Advisors,"150670"
Insurance Underwriters,"85610"
Financial Risk Specialists,"118950"
Financial Examiners,"98140"
Credit Counselors,"53440"
Loan Officers,"84490"
"Tax Examiners and Collectors, and Revenue Agents","65370"
Tax Preparers,"58160"
"Financial Specialists, All Other","89650"
Computer Systems Analysts,"110800"
Information Security Analysts,"124740"
Computer and Information Research Scientists,"157160"
Computer Network Support Specialists,"78640"
Computer User Support Specialists,"63640"
Computer Network Architects,"133930"
Database Administrators,"104810"
Database Architects,"137030"
Network and Computer Systems Administrators,"100580"
Computer Programmers,"107750"
Software Developers,"138110"
Software Quality Assurance Analysts and Testers,"108460"
Web Developers,"95570"
Web and Digital Interface Designers,"108820"
"Computer Occupations, All Other","112430"
Actuaries,"132500"
Mathematicians,"119770"
Operations Research Analysts,"95600"
Statisticians,"109190"
Data Scientists,"119040"
"Mathematical Science Occupations, All Other","83330"
"Architects, Except Landscape and Naval","100400"
Landscape Architects,"83990"
Cartographers and Photogrammetrists,"78810"
Surveyors,"74000"
Aerospace Engineers,"134330"
Agricultural Engineers,"93490"
Bioengineers and Biomedical Engineers,"106700"
Chemical Engineers,"122910"
Civil Engineers,"101160"
Computer Hardware Engineers,"147770"
Electrical Engineers,"117680"
"Electronics Engineers, Except Computer","124190"
Environmental Engineers,"105840"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","108740"
Industrial Engineers,"103150"
Marine Engineers and Naval Architects,"108110"
Materials Engineers,"110430"
Mechanical Engineers,"105220"
"Mining and Geological Engineers, Including Mining Safety Engineers","105460"
Nuclear Engineers,"126950"
Petroleum Engineers,"148590"
"Engineers, All Other","118350"
Architectural and Civil Drafters,"65000"
Electrical and Electronics Drafters,"73110"
Mechanical Drafters,"69920"
"Drafters, All Other","62980"
Aerospace Engineering and Operations Technologists and Technicians,"81280"
Civil Engineering Technologists and Technicians,"63770"
Electrical and Electronic Engineering Technologists and Technicians,"74440"
Electro-Mechanical and Mechatronics Technologists and Technicians,"72430"
Environmental Engineering Technologists and Technicians,"58780"
Industrial Engineering Technologists and Technicians,"66640"
Mechanical Engineering Technologists and Technicians,"67990"
Calibration Technologists and Technicians,"67360"
"Engineering Technologists and Technicians, Except Drafters, All Other","75290"
Surveying and Mapping Technicians,"54090"
Animal Scientists,"89450"
Food Scientists and Technologists,"88350"
Soil and Plant Scientists,"77080"
Biochemists and Biophysicists,"120310"
Microbiologists,"93380"
Zoologists and Wildlife Biologists,"75740"
"Biological Scientists, All Other","99060"
Conservation Scientists,"73160"
Foresters,"70680"
Epidemiologists,"90430"
"Medical Scientists, Except Epidemiologists","112380"
"Life Scientists, All Other","101520"
Astronomers,"128940"
Physicists,"158270"
Atmospheric and Space Scientists,"101530"
Chemists,"95560"
Materials Scientists,"112440"
"Environmental Scientists and Specialists, Including Health","86710"
"Geoscientists, Except Hydrologists and Geographers","104000"
Hydrologists,"96410"
"Physical Scientists, All Other","119050"
Economists,"132650"
Survey Researchers,"66670"
Industrial-Organizational Psychologists,"154380"
Clinical and Counseling Psychologists,"106600"
School Psychologists,"91990"
"Psychologists, All Other","110300"
Sociologists,"106710"
Urban and Regional Planners,"85940"
Anthropologists and Archeologists,"69780"
Geographers,"92460"
Historians,"76120"
Political Scientists,"132020"
"Social Scientists and Related Workers, All Other","102210"
Agricultural Technicians,"46810"
Food Science Technicians,"54000"
Biological Technicians,"56540"
Chemical Technicians,"60920"
"Environmental Science and Protection Technicians, Including Health","57470"
"Geological Technicians, Except Hydrologic Technicians","64590"
Hydrologic Technicians,"61500"
Nuclear Technicians,"97520"
Social Science Research Assistants,"62370"
Forest and Conservation Technicians,"54260"
Forensic Science Technicians,"71540"
"Life, Physical, and Social Science Technicians, All Other","62640"
Occupational Health and Safety Specialists,"85570"
Occupational Health and Safety Technicians,"64250"
"Educational, Guidance, and Career Counselors and Advisors","66990"
Marriage and Family Therapists,"68730"
Rehabilitation Counselors,"48430"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","60080"
"Counselors, All Other","52360"
"Child, Family, and School Social Workers","59190"
Healthcare Social Workers,"67430"
Mental Health and Substance Abuse Social Workers,"63870"
"Social Workers, All Other","68800"
Health Education Specialists,"69790"
Probation Officers and Correctional Treatment Specialists,"67880"
Social and Human Service Assistants,"44240"
Community Health Workers,"52610"
"Community and Social Service Specialists, All Other","54020"
Clergy,"63720"
"Directors, Religious Activities and Education","61740"
"Religious Workers, All Other","45050"
Lawyers,"176470"
Judicial Law Clerks,"64880"
"Administrative Law Judges, Adjudicators, and Hearing Officers","119940"
"Arbitrators, Mediators, and Conciliators","95370"
"Judges, Magistrate Judges, and Magistrates","139000"
Paralegals and Legal Assistants,"66460"
"Title Examiners, Abstractors, and Searchers","59440"
"Legal Support Workers, All Other","82960"
"Business Teachers, Postsecondary","113240"
"Computer Science Teachers, Postsecondary","106380"
"Mathematical Science Teachers, Postsecondary","95320"
"Architecture Teachers, Postsecondary","114900"
"Engineering Teachers, Postsecondary","120630"
"Agricultural Sciences Teachers, Postsecondary","95610"
"Biological Science Teachers, Postsecondary","102270"
"Forestry and Conservation Science Teachers, Postsecondary","102230"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","111930"
"Chemistry Teachers, Postsecondary","102630"
"Environmental Science Teachers, Postsecondary","100910"
"Physics Teachers, Postsecondary","106950"
"Anthropology and Archeology Teachers, Postsecondary","103640"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","100390"
"Economics Teachers, Postsecondary","133650"
"Geography Teachers, Postsecondary","97660"
"Political Science Teachers, Postsecondary","104910"
"Psychology Teachers, Postsecondary","93990"
"Sociology Teachers, Postsecondary","97580"
"Social Sciences Teachers, Postsecondary, All Other","91710"
"Health Specialties Teachers, Postsecondary","134440"
"Nursing Instructors and Teachers, Postsecondary","86530"
"Education Teachers, Postsecondary","80750"
"Library Science Teachers, Postsecondary","88190"
"Criminal Justice and Law Enforcement Teachers, Postsecondary","83470"
"Law Teachers, Postsecondary","142440"
"Social Work Teachers, Postsecondary","80840"
"Art, Drama, and Music Teachers, Postsecondary","100840"
"Communications Teachers, Postsecondary","90950"
"English Language and Literature Teachers, Postsecondary","87090"
"Foreign Language and Literature Teachers, Postsecondary","88490"
"History Teachers, Postsecondary","93120"
"Philosophy and Religion Teachers, Postsecondary","89680"
"Family and Consumer Sciences Teachers, Postsecondary","89630"
"Recreation and Fitness Studies Teachers, Postsecondary","87340"
"Career/Technical Education Teachers, Postsecondary","68300"
"Postsecondary Teachers, All Other","96570"
"Preschool Teachers, Except Special Education","41410"
"Kindergarten Teachers, Except Special Education","67790"
"Elementary School Teachers, Except Special Education","70740"
"Middle School Teachers, Except Special and Career/Technical Education","71460"
"Career/Technical Education Teachers, Middle School","69020"
"Secondary School Teachers, Except Special and Career/Technical Education","73800"
"Career/Technical Education Teachers, Secondary School","70810"
"Special Education Teachers, Preschool","76420"
"Special Education Teachers, Kindergarten and Elementary School","71770"
"Special Education Teachers, Middle School","73630"
"Special Education Teachers, Secondary School","74670"
"Special Education Teachers, All Other","76000"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","65430"
Self-Enrichment Teachers,"52890"
"Substitute Teachers, Short-Term","43570"
Tutors,"48580"
"Teachers and Instructors, All Other","70340"
Archivists,"65700"
Curators,"70870"
Museum Technicians and Conservators,"54890"
Librarians and Media Collections Specialists,"68570"
Library Technicians,"42570"
Farm and Home Management Educators,"61430"
Instructional Coordinators,"77200"
"Teaching Assistants, Postsecondary","47030"
"Teaching Assistants, Except Postsecondary","36430"
"Educational Instruction and Library Workers, All Other","54910"
Art Directors,"125920"
Craft Artists,"43610"
"Fine Artists, Including Painters, Sculptors, and Illustrators","71420"
Special Effects Artists and Animators,"109630"
"Artists and Related Workers, All Other","78890"
Commercial and Industrial Designers,"81870"
Fashion Designers,"97030"
Floral Designers,"35500"
Graphic Designers,"64700"
Interior Designers,"68530"
Merchandise Displayers and Window Trimmers,"39040"
Set and Exhibit Designers,"67170"
"Designers, All Other","75960"
Actors,-4
Producers and Directors,"107170"
Athletes and Sports Competitors,"328830"
Coaches and Scouts,"58700"
"Umpires, Referees, and Other Sports Officials","44860"
Dancers,-4
Choreographers,"59090"
Music Directors and Composers,"87840"
Musicians and Singers,-4
"Disc Jockeys, Except Radio",-4
"Entertainers and Performers, Sports and Related Workers, All Other",-4
Broadcast Announcers and Radio Disc Jockeys,"86950"
"News Analysts, Reporters, and Journalists","101430"
Public Relations Specialists,"77720"
Editors,"85110"
Technical Writers,"86620"
Writers and Authors,"87590"
Interpreters and Translators,"63080"
Court Reporters and Simultaneous Captioners,"71040"
"Media and Communication Workers, All Other","87140"
Audio and Video Technicians,"59260"
Broadcast Technicians,"71600"
Sound Engineering Technicians,"74100"
Lighting Technicians,"73250"
Photographers,"53380"
"Camera Operators, Television, Video, and Film","71890"
Film and Video Editors,"83470"
"Media and Communication Equipment Workers, All Other","75860"
Chiropractors,"89760"
"Dentists, General","191750"
Oral and Maxillofacial Surgeons,"334310"
Orthodontists,"243620"
Prosthodontists,"240750"
"Dentists, All Other Specialists","244470"
Dietitians and Nutritionists,"71280"
Optometrists,"143000"
Pharmacists,"134790"
Physician Assistants,"130490"
Podiatrists,"162520"
Occupational Therapists,"96790"
Physical Therapists,"100440"
Radiation Therapists,"104420"
Recreational Therapists,"60910"
Respiratory Therapists,"80340"
Speech-Language Pathologists,"92630"
Exercise Physiologists,"57050"
"Therapists, All Other","75660"
Veterinarians,"136300"
Registered Nurses,"94480"
Nurse Anesthetists,"214200"
Nurse Midwives,"131570"
Nurse Practitioners,"128490"
Audiologists,"92620"
Anesthesiologists,"339470"
Cardiologists,"423250"
Dermatologists,"342860"
Emergency Medicine Physicians,"306640"
Family Medicine Physicians,"240790"
General Internal Medicine Physicians,"245450"
Neurologists,"271470"
Obstetricians and Gynecologists,"278660"
"Pediatricians, General","205860"
"Physicians, Pathologists","270560"
Psychiatrists,"256930"
Radiologists,"353960"
"Physicians, All Other","248640"
"Ophthalmologists, Except Pediatric","312120"
"Orthopedic Surgeons, Except Pediatric","378250"
Pediatric Surgeons,"449320"
"Surgeons, All Other","343990"
Acupuncturists,"84260"
Dental Hygienists,"89890"
"Healthcare Diagnosing or Treating Practitioners, All Other","123840"
Cardiovascular Technologists and Technicians,"70270"
Diagnostic Medical Sonographers,"89020"
Nuclear Medicine Technologists,"95080"
Radiologic Technologists and Technicians,"75250"
Magnetic Resonance Imaging Technologists,"86600"
Medical Dosimetrists,"131850"
Emergency Medical Technicians,"43100"
Paramedics,"57450"
Dietetic Technicians,"38440"
Pharmacy Technicians,"43330"
Psychiatric Technicians,"43650"
Surgical Technologists,"62250"
Veterinary Technologists and Technicians,"44040"
Ophthalmic Medical Technicians,"44290"
Licensed Practical and Licensed Vocational Nurses,"60790"
Medical Records Specialists,"53690"
"Opticians, Dispensing","47560"
Orthotists and Prosthetists,"80500"
Hearing Aid Specialists,"61550"
"Health Technologists and Technicians, All Other","54220"
Health Information Technologists and Medical Registrars,"70260"
Athletic Trainers,"61540"
Genetic Counselors,"98130"
Surgical Assistants,"65190"
"Healthcare Practitioners and Technical Workers, All Other","70800"
Nursing Assistants,"39610"
Orderlies,"38440"
Psychiatric Aides,"41000"
Occupational Therapy Assistants,"68170"
Occupational Therapy Aides,"42060"
Physical Therapist Assistants,"65860"
Physical Therapist Aides,"34810"
Massage Therapists,"62560"
Dental Assistants,"47350"
Medical Assistants,"43350"
Medical Equipment Preparers,"47410"
Medical Transcriptionists,"39090"
Pharmacy Aides,"38980"
Veterinary Assistants and Laboratory Animal Caretakers,"37310"
Phlebotomists,"43130"
"Healthcare Support Workers, All Other","47010"
First-Line Supervisors of Correctional Officers,"76840"
First-Line Supervisors of Police and Detectives,"106000"
First-Line Supervisors of Firefighting and Prevention Workers,"90740"
First-Line Supervisors of Security Workers,"59580"
"First-Line Supervisors of Protective Service Workers, All Other","67870"
Firefighters,"60390"
Fire Inspectors and Investigators,"82510"
Forest Fire Inspectors and Prevention Specialists,"61090"
Bailiffs,"58460"
Correctional Officers and Jailers,"58810"
Detectives and Criminal Investigators,"95930"
Fish and Game Wardens,"61120"
Parking Enforcement Workers,"50430"
Police and Sheriff's Patrol Officers,"76550"
Transit and Railroad Police,"78230"
Animal Control Workers,"48150"
Private Detectives and Investigators,"60270"
Gambling Surveillance Officers and Gambling Investigators,"42460"
Security Guards,"40440"
Crossing Guards and Flaggers,"40650"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","31340"
Transportation Security Screeners,"51040"
School Bus Monitors,"33970"
"Protective Service Workers, All Other","47420"
Chefs and Head Cooks,"62640"
First-Line Supervisors of Food Preparation and Serving Workers,"43310"
"Cooks, Fast Food","29760"
"Cooks, Institution and Cafeteria","35920"
"Cooks, Private Household","49790"
"Cooks, Restaurant","36060"
"Cooks, Short Order","33920"
"Cooks, All Other","37610"
Food Preparation Workers,"32960"
Bartenders,"37090"
Fast Food and Counter Workers,"30110"
Waiters and Waitresses,"36530"
"Food Servers, Nonrestaurant","33840"
Dining Room and Cafeteria Attendants and Bartender Helpers,"32730"
Dishwashers,"31650"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","30750"
"Food Preparation and Serving Related Workers, All Other","35430"
First-Line Supervisors of Housekeeping and Janitorial Workers,"49980"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","58920"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","36250"
Maids and Housekeeping Cleaners,"34650"
"Building Cleaning Workers, All Other","43740"
Pest Control Workers,"44650"
Landscaping and Groundskeeping Workers,"39790"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","44480"
Tree Trimmers and Pruners,"52850"
"Grounds Maintenance Workers, All Other","46540"
First-Line Supervisors of Gambling Services Workers,"62110"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","50650"
First-Line Supervisors of Personal Service Workers,"50090"
Animal Trainers,"44910"
Animal Caretakers,"33530"
Gambling Dealers,"40030"
Gambling and Sports Book Writers and Runners,"32030"
"Gambling Service Workers, All Other","35650"
Motion Picture Projectionists,"43800"
"Ushers, Lobby Attendants, and Ticket Takers","30520"
Amusement and Recreation Attendants,"30240"
Costume Attendants,"60230"
"Locker Room, Coatroom, and Dressing Room Attendants","34590"
"Entertainment Attendants and Related Workers, All Other","34670"
Embalmers,"56690"
Crematory Operators,"44290"
Funeral Attendants,"35200"
"Morticians, Undertakers, and Funeral Arrangers","58020"
Barbers,"41570"
"Hairdressers, Hairstylists, and Cosmetologists","41780"
"Makeup Artists, Theatrical and Performance","68590"
Manicurists and Pedicurists,"36480"
Shampooers,"29260"
Skincare Specialists,"51100"
Baggage Porters and Bellhops,"36100"
Concierges,"40230"
Childcare Workers,"32070"
Exercise Trainers and Group Fitness Instructors,"51270"
Recreation Workers,"36270"
Residential Advisors,"40200"
"Personal Care and Service Workers, All Other","37190"
First-Line Supervisors of Retail Sales Workers,"52030"
First-Line Supervisors of Non-Retail Sales Workers,"99020"
Cashiers,"30710"
Gambling Change Persons and Booth Cashiers,"36030"
Counter and Rental Clerks,"41630"
Parts Salespersons,"41080"
Retail Salespersons,"36690"
Advertising Sales Agents,"75820"
Insurance Sales Agents,"79700"
"Securities, Commodities, and Financial Services Sales Agents","109710"
Travel Agents,"50040"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","81080"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","113520"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","80490"
Demonstrators and Product Promoters,"41090"
Models,"68700"
Real Estate Brokers,"86130"
Real Estate Sales Agents,"69610"
Sales Engineers,"130550"
Telemarketers,"36680"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","42200"
"Sales and Related Workers, All Other","54150"
