Job,average_salary
First-Line Supervisors of Office and Administrative Support Workers,"68620"
"Switchboard Operators, Including Answering Service","40020"
Telephone Operators,"42100"
"Communications Equipment Operators, All Other","53240"
Bill and Account Collectors,"46020"
Billing and Posting Clerks,"47120"
"Bookkeeping, Accounting, and Auditing Clerks","49580"
Gambling Cage Workers,"36750"
Payroll and Timekeeping Clerks,"54690"
Procurement Clerks,"47940"
Tellers,"38850"
"Financial Clerks, All Other","52690"
Brokerage Clerks,"63130"
Correspondence Clerks,"46940"
"Court, Municipal, and License Clerks","48760"
"Credit Authorizers, Checkers, and Clerks","50380"
Customer Service Representatives,"43520"
"Eligibility Interviewers, Government Programs","51840"
File Clerks,"40730"
"Hotel, Motel, and Resort Desk Clerks","32570"
"Interviewers, Except Eligibility and Loan","42750"
"Library Assistants, Clerical","35970"
Loan Interviewers and Clerks,"48660"
New Accounts Clerks,"44670"
Order Clerks,"43530"
"Human Resources Assistants, Except Payroll and Timekeeping","48800"
Receptionists and Information Clerks,"36590"
Reservation and Transportation Ticket Agents and Travel Clerks,"46820"
"Information and Record Clerks, All Other","47840"
Cargo and Freight Agents,"52460"
Couriers and Messengers,"38350"
Public Safety Telecommunicators,"52140"
"Dispatchers, Except Police, Fire, and Ambulance","50830"
"Meter Readers, Utilities","53610"
Postal Service Clerks,"59240"
Postal Service Mail Carriers,"59340"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","56350"
"Production, Planning, and Expediting Clerks","57610"
"Shipping, Receiving, and Inventory Clerks","42730"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","44240"
Executive Secretaries and Executive Administrative Assistants,"73680"
Legal Secretaries and Administrative Assistants,"56330"
Medical Secretaries and Administrative Assistants,"43380"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","45490"
Data Entry Keyers,"40130"
Word Processors and Typists,"47170"
Desktop Publishers,"57680"
Insurance Claims and Policy Processing Clerks,"49530"
"Mail Clerks and Mail Machine Operators, Except Postal Service","38370"
"Office Clerks, General","43560"
"Office Machine Operators, Except Computer","39600"
Proofreaders and Copy Markers,"51100"
Statistical Assistants,"53900"
"Office and Administrative Support Workers, All Other","46620"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","60790"
Agricultural Inspectors,"52170"
Animal Breeders,"53520"
"Graders and Sorters, Agricultural Products","34880"
Agricultural Equipment Operators,"41850"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","36140"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","37060"
"Agricultural Workers, All Other","45660"
Forest and Conservation Workers,"36860"
Fallers,"61190"
Logging Equipment Operators,"49790"
Log Graders and Scalers,"47120"
"Logging Workers, All Other","52950"
First-Line Supervisors of Construction Trades and Extraction Workers,"81340"
Boilermakers,"73840"
Brickmasons and Blockmasons,"63430"
Stonemasons,"56930"
Carpenters,"60970"
Carpet Installers,"52290"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","56680"
Floor Sanders and Finishers,"49910"
Tile and Stone Setters,"53920"
Cement Masons and Concrete Finishers,"57410"
Terrazzo Workers and Finishers,"54220"
Construction Laborers,"49280"
"Paving, Surfacing, and Tamping Equipment Operators","55170"
Pile Driver Operators,"70260"
Operating Engineers and Other Construction Equipment Operators,"62180"
Drywall and Ceiling Tile Installers,"61480"
Tapers,"69300"
Electricians,"67810"
Glaziers,"58320"
"Insulation Workers, Floor, Ceiling, and Wall","52080"
"Insulation Workers, Mechanical","60530"
"Painters, Construction and Maintenance","52110"
Paperhangers,"54020"
Pipelayers,"52840"
"Plumbers, Pipefitters, and Steamfitters","67840"
Plasterers and Stucco Masons,"59050"
Reinforcing Iron and Rebar Workers,"60290"
Roofers,"55840"
Sheet Metal Workers,"64270"
Structural Iron and Steel Workers,"68220"
Solar Photovoltaic Installers,"53140"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","45590"
Helpers--Carpenters,"40860"
Helpers--Electricians,"41240"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","38750"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","39460"
Helpers--Roofers,"42280"
"Helpers, Construction Trades, All Other","43090"
Construction and Building Inspectors,"72880"
Elevator and Escalator Installers and Repairers,"100060"
Fence Erectors,"46650"
Hazardous Materials Removal Workers,"53430"
Highway Maintenance Workers,"49070"
Rail-Track Laying and Maintenance Equipment Operators,"67330"
Septic Tank Servicers and Sewer Pipe Cleaners,"49590"
"Derrick Operators, Oil and Gas","58330"
"Rotary Drill Operators, Oil and Gas","67320"
"Service Unit Operators, Oil and Gas","59390"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","55500"
"Earth Drillers, Except Oil and Gas","60250"
"Explosives Workers, Ordnance Handling Experts, and Blasters","65600"
Continuous Mining Machine Operators,"62110"
"Roof Bolters, Mining","68540"
"Loading and Moving Machine Operators, Underground Mining","63620"
"Underground Mining Machine Operators, All Other","65290"
"Rock Splitters, Quarry","47830"
"Roustabouts, Oil and Gas","47730"
Helpers--Extraction Workers,"46990"
"Extraction Workers, All Other","53050"
"First-Line Supervisors of Mechanics, Installers, and Repairers","79020"
"Computer, Automated Teller, and Office Machine Repairers","48290"
"Radio, Cellular, and Tower Equipment Installers and Repairers","64360"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","64010"
Avionics Technicians,"77080"
"Electric Motor, Power Tool, and Related Repairers","52550"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","76380"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","69810"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","92840"
"Electronic Equipment Installers and Repairers, Motor Vehicles","47570"
Audiovisual Equipment Installers and Repairers,"52720"
Security and Fire Alarm Systems Installers,"57400"
Aircraft Mechanics and Service Technicians,"76260"
Automotive Body and Related Repairers,"55220"
Automotive Glass Installers and Repairers,"46010"
Automotive Service Technicians and Mechanics,"51940"
Bus and Truck Mechanics and Diesel Engine Specialists,"59920"
Farm Equipment Mechanics and Service Technicians,"52120"
"Mobile Heavy Equipment Mechanics, Except Engines","64340"
Rail Car Repairers,"65690"
Motorboat Mechanics and Service Technicians,"52620"
Motorcycle Mechanics,"47960"
Outdoor Power Equipment and Other Small Engine Mechanics,"45180"
Bicycle Repairers,"39360"
Recreational Vehicle Service Technicians,"50690"
Tire Repairers and Changers,"37280"
Mechanical Door Repairers,"51640"
"Control and Valve Installers and Repairers, Except Mechanical Door","72360"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","59620"
Home Appliance Repairers,"50640"
Industrial Machinery Mechanics,"63690"
"Maintenance Workers, Machinery","58500"
Millwrights,"64310"
"Refractory Materials Repairers, Except Brickmasons","49900"
Electrical Power-Line Installers and Repairers,"85900"
Telecommunications Line Installers and Repairers,"69040"
Camera and Photographic Equipment Repairers,"58870"
Medical Equipment Repairers,"64140"
Musical Instrument Repairers and Tuners,"46250"
Watch and Clock Repairers,"56140"
"Precision Instrument and Equipment Repairers, All Other","65710"
"Maintenance and Repair Workers, General","49650"
Wind Turbine Service Technicians,"65380"
"Coin, Vending, and Amusement Machine Servicers and Repairers","45840"
Commercial Divers,"75570"
Locksmiths and Safe Repairers,"52130"
Manufactured Building and Mobile Home Installers,"39820"
Riggers,"62020"
Signal and Track Switch Repairers,"81810"
"Helpers--Installation, Maintenance, and Repair Workers","38720"
"Installation, Maintenance, and Repair Workers, All Other","50480"
First-Line Supervisors of Production and Operating Workers,"71730"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","62860"
"Coil Winders, Tapers, and Finishers","46020"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","43740"
Engine and Other Machine Assemblers,"53470"
Structural Metal Fabricators and Fitters,"50640"
Fiberglass Laminators and Fabricators,"43920"
Timing Device Assemblers and Adjusters,"52840"
Bakers,"35550"
Butchers and Meat Cutters,"39680"
"Meat, Poultry, and Fish Cutters and Trimmers","36840"
Slaughterers and Meat Packers,"38710"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","42410"
Food Batchmakers,"40890"
Food Cooking Machine Operators and Tenders,"39770"
"Food Processing Workers, All Other","37630"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","45440"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","47350"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","49290"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","44260"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","47490"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","44450"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","48850"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","50020"
Machinists,"54600"
Metal-Refining Furnace Operators and Tenders,"54340"
"Pourers and Casters, Metal","50110"
"Model Makers, Metal and Plastic","64920"
"Patternmakers, Metal and Plastic","54550"
Foundry Mold and Coremakers,"45130"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","42060"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","43990"
Tool and Die Makers,"62020"
"Welders, Cutters, Solderers, and Brazers","52640"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","47120"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","46540"
"Layout Workers, Metal and Plastic","60110"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","42550"
"Tool Grinders, Filers, and Sharpeners","48520"
"Metal Workers and Plastic Workers, All Other","44780"
Prepress Technicians and Workers,"46540"
Printing Press Operators,"44450"
Print Binding and Finishing Workers,"40860"
Laundry and Dry-Cleaning Workers,"31880"
"Pressers, Textile, Garment, and Related Materials","32340"
Sewing Machine Operators,"35000"
Shoe and Leather Workers and Repairers,"37030"
Shoe Machine Operators and Tenders,"36570"
"Sewers, Hand","33860"
"Tailors, Dressmakers, and Custom Sewers","40190"
Textile Bleaching and Dyeing Machine Operators and Tenders,"37570"
"Textile Cutting Machine Setters, Operators, and Tenders","37040"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","37880"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","37100"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","45270"
Fabric and Apparel Patternmakers,"66750"
Upholsterers,"44820"
"Textile, Apparel, and Furnishings Workers, All Other","37430"
Cabinetmakers and Bench Carpenters,"44620"
Furniture Finishers,"42490"
"Model Makers, Wood","52510"
"Patternmakers, Wood","52330"
"Sawing Machine Setters, Operators, and Tenders, Wood","40120"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","40360"
"Woodworkers, All Other","39520"
Nuclear Power Reactor Operators,"121240"
Power Distributors and Dispatchers,"105460"
Power Plant Operators,"91880"
Stationary Engineers and Boiler Operators,"73170"
Water and Wastewater Treatment Plant and System Operators,"58050"
Chemical Plant and System Operators,"79450"
Gas Plant Operators,"83020"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","88120"
"Plant and System Operators, All Other","59890"
Chemical Equipment Operators and Tenders,"57350"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","51960"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","46390"
"Grinding and Polishing Workers, Hand","41490"
"Mixing and Blending Machine Setters, Operators, and Tenders","47950"
"Cutters and Trimmers, Hand","39260"
"Cutting and Slicing Machine Setters, Operators, and Tenders","44700"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","44610"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","47540"
"Inspectors, Testers, Sorters, Samplers, and Weighers","49260"
Jewelers and Precious Stone and Metal Workers,"52000"
Dental Laboratory Technicians,"52390"
Medical Appliance Technicians,"48860"
Ophthalmic Laboratory Technicians,"41280"
Packaging and Filling Machine Operators and Tenders,"41200"
"Painting, Coating, and Decorating Workers","44050"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","48480"
Semiconductor Processing Technicians,"48970"
Photographic Process Workers and Processing Machine Operators,"41900"
Computer Numerically Controlled Tool Operators,"51030"
Computer Numerically Controlled Tool Programmers,"67650"
Adhesive Bonding Machine Operators and Tenders,"44400"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","41500"
Cooling and Freezing Equipment Operators and Tenders,"44840"
Etchers and Engravers,"42780"
"Molders, Shapers, and Casters, Except Metal and Plastic","44710"
"Paper Goods Machine Setters, Operators, and Tenders","48910"
Tire Builders,"53930"
Helpers--Production Workers,"38160"
"Production Workers, All Other","41400"
Aircraft Cargo Handling Supervisors,"64950"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","63840"
"Airline Pilots, Copilots, and Flight Engineers","250050"
Commercial Pilots,"138010"
Air Traffic Controllers,"136790"
Airfield Operations Specialists,"62140"
Flight Attendants,"70980"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","34420"
Driver/Sales Workers,"38230"
Heavy and Tractor-Trailer Truck Drivers,"55990"
Light Truck Drivers,"46090"
"Bus Drivers, School","45210"
"Bus Drivers, Transit and Intercity","59860"
Shuttle Drivers and Chauffeurs,"36920"
Taxi Drivers,"35120"
"Motor Vehicle Operators, All Other","39970"
Locomotive Engineers,"75870"
"Rail Yard Engineers, Dinkey Operators, and Hostlers","57580"
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","62840"
Railroad Conductors and Yardmasters,"72220"
Subway and Streetcar Operators,"77370"
"Rail Transportation Workers, All Other","50730"
Sailors and Marine Oilers,"53470"
"Captains, Mates, and Pilots of Water Vessels","97820"
Motorboat Operators,"51810"
Ship Engineers,"100550"
Bridge and Lock Tenders,"50070"
Parking Attendants,"32700"
Automotive and Watercraft Service Attendants,"34530"
Aircraft Service Attendants,"42110"
Traffic Technicians,"56680"
Transportation Inspectors,"83920"
Passenger Attendants,"36780"
"Transportation Workers, All Other","43530"
Conveyor Operators and Tenders,"42900"
Crane and Tower Operators,"68040"
Dredge Operators,"53700"
Hoist and Winch Operators,"65810"
Industrial Truck and Tractor Operators,"45720"
Cleaners of Vehicles and Equipment,"35250"
"Laborers and Freight, Stock, and Material Movers, Hand","39760"
Machine Feeders and Offbearers,"41000"
"Packers and Packagers, Hand","35450"
Stockers and Order Fillers,"37990"
Gas Compressor and Gas Pumping Station Operators,"63810"
"Pump Operators, Except Wellhead Pumpers","58650"
Wellhead Pumpers,"69930"
Refuse and Recyclable Material Collectors,"47810"
"Tank Car, Truck, and Ship Loaders","60530"
"Material Moving Workers, All Other","45840"
Marketing and Sales Managers,"161040"
Public Relations and Fundraising Managers,"151570"
Administrative Services and Facilities Managers,"117650"
Education and Childcare Administrators,"107830"
Entertainment and Recreation Managers,"85980"
Personal Service Managers,"75190"
Buyers and Purchasing Agents,"77850"
"Claims Adjusters, Appraisers, Examiners, and Investigators","75760"
Human Resources Workers,"77260"
Logisticians and Project Management Specialists,"100980"
Property Appraisers and Assessors,"76110"
Financial Analysts and Advisors,"123330"
Credit Counselors and Loan Officers,"82000"
"Tax Examiners, Collectors and Preparers, and Revenue Agents","60900"
Computer and Information Analysts,"114420"
Computer Support Specialists,"66450"
Database and Network Administrators and Architects,"113710"
"Software and Web Developers, Programmers, and Testers","130500"
"Architects, Except Naval","97860"
"Surveyors, Cartographers, and Photogrammetrists","74940"
Electrical and Electronics Engineers,"119910"
"Industrial Engineers, Including Health and Safety","103510"
Drafters,"66840"
"Engineering Technologists and Technicians, Except Drafters","70080"
Agricultural and Food Scientists,"82930"
Biological Scientists,"100440"
Conservation Scientists and Foresters,"72430"
Medical Scientists,"110850"
Astronomers and Physicists,"155280"
Chemists and Materials Scientists,"97170"
Environmental Scientists and Geoscientists,"91060"
Psychologists,"101170"
Miscellaneous Social Scientists and Related Workers,"98860"
Agricultural and Food Science Technicians,"50660"
Environmental Science and Geoscience Technicians,"59170"
"Miscellaneous Life, Physical, and Social Science Technicians","64380"
Occupational Health and Safety Specialists and Technicians,"81690"
Counselors,"61790"
Social Workers,"62880"
Miscellaneous Community and Social Service Specialists,"51210"
Lawyers and Judicial Law Clerks,"174280"
"Judges, Magistrates, and Other Judicial Workers","126270"
Miscellaneous Legal Support Workers,"70440"
"Math and Computer Science Teachers, Postsecondary","100060"
"Engineering and Architecture Teachers, Postsecondary","119600"
"Life Sciences Teachers, Postsecondary","101440"
"Physical Sciences Teachers, Postsecondary","105600"
"Social Sciences Teachers, Postsecondary","100790"
"Health Teachers, Postsecondary","122760"
"Education and Library Science Teachers, Postsecondary","81230"
"Law, Criminal Justice, and Social Work Teachers, Postsecondary","104340"
"Arts, Communications, History, and Humanities Teachers, Postsecondary","93950"
Miscellaneous Postsecondary Teachers,"85400"
Preschool and Kindergarten Teachers,"47110"
Elementary and Middle School Teachers,"70950"
Secondary School Teachers,"73570"
Special Education Teachers,"73520"
"Archivists, Curators, and Museum Technicians","63460"
Teaching Assistants,"37470"
Artists and Related Workers,"107780"
Designers,"57320"
"Actors, Producers, and Directors","100860"
"Athletes, Coaches, Umpires, and Related Workers","72950"
Dancers and Choreographers,"60840"
"Musicians, Singers, and Related Workers",-4
"Miscellaneous Entertainers and Performers, Sports and Related Workers",-4
Writers and Editors,"86120"
Miscellaneous Media and Communication Workers,"70620"
"Broadcast, Sound, and Lighting Technicians","65010"
"Television, Video, and Film Camera Operators and Editors","78260"
Dentists,"200870"
Therapists,"92670"
Physicians,"263840"
Surgeons,"348890"
Miscellaneous Healthcare Diagnosing or Treating Practitioners,"93870"
Clinical Laboratory Technologists and Technicians,"62870"
Diagnostic Related Technologists and Technicians,"79710"
Emergency Medical Technicians and Paramedics,"48430"
Health Practitioner Support Technologists and Technicians,"45720"
Miscellaneous Health Technologists and Technicians,"55830"
Miscellaneous Health Practitioners and Technical Workers,"67520"
Home Health and Personal Care Aides,"33380"
"Nursing Assistants, Orderlies, and Psychiatric Aides","39600"
Occupational Therapy Assistants and Aides,"65880"
Physical Therapist Assistants and Aides,"56870"
Miscellaneous Healthcare Support Occupations,"43940"
First-Line Supervisors of Law Enforcement Workers,"98000"
"Miscellaneous First-Line Supervisors, Protective Service Workers","61500"
Fire Inspectors,"79550"
"Bailiffs, Correctional Officers, and Jailers","58790"
Police Officers,"76550"
Security Guards and Gambling Surveillance Officers,"40460"
Miscellaneous Protective Service Workers,"39270"
Supervisors of Food Preparation and Serving Workers,"45780"
Cooks,"34360"
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,"53770"
Building Cleaning Workers,"35840"
Grounds Maintenance Workers,"40620"
First-Line Supervisors of Entertainment and Recreation Workers,"53190"
Gambling Services Workers,"38790"
Miscellaneous Entertainment Attendants and Related Workers,"30970"
Embalmers and Crematory Operators,"50640"
"Barbers, Hairdressers, Hairstylists and Cosmetologists","41770"
Miscellaneous Personal Appearance Workers,"41140"
"Baggage Porters, Bellhops, and Concierges","38530"
Tour and Travel Guides,"40280"
Recreation and Fitness Workers,"43740"
First-Line Supervisors of Sales Workers,"60140"
Cashiers,"30750"
Counter and Rental Clerks and Parts Salespersons,"41410"
"Sales Representatives, Wholesale and Manufacturing","86920"
"Models, Demonstrators, and Product Promoters","42680"
Real Estate Brokers and Sales Agents,"73010"
Miscellaneous Sales and Related Workers,"53530"
Dispatchers,"51250"
Postal Service Workers,"58660"
Secretaries and Administrative Assistants,"49810"
Data Entry and Information Processing Workers,"41490"
Miscellaneous Agricultural Workers,"36910"
Logging Workers,"51320"
"Brickmasons, Blockmasons, and Stonemasons","62470"
"Carpet, Floor, and Tile Installers and Finishers","54190"
"Cement Masons, Concrete Finishers, and Terrazzo Workers","57390"
Construction Equipment Operators,"61620"
"Drywall Installers, Ceiling Tile Installers, and Tapers","62620"
Insulation Workers,"55230"
Painters and Paperhangers,"52130"
"Pipelayers, Plumbers, Pipefitters, and Steamfitters","66730"
"Helpers, Construction Trades","41340"
Miscellaneous Construction and Related Workers,"51670"
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas","60590"
Surface Mining Machine Operators and Earth Drillers,"57190"
Underground Mining Machine Operators,"63240"
Radio and Telecommunications Equipment Installers and Repairers,"64030"
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","65100"
Automotive Technicians and Repairers,"52410"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"62520"
Small Engine Mechanics,"48070"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","39250"
Control and Valve Installers and Repairers,"64740"
"Industrial Machinery Installation, Repair, and Maintenance Workers","63130"
Line Installers and Repairers,"78290"
Precision Instrument and Equipment Repairers,"62700"
"Miscellaneous Installation, Maintenance, and Repair Workers","48470"
"Electrical, Electronics, and Electromechanical Assemblers","43830"
Miscellaneous Assemblers and Fabricators,"42400"
"Butchers and Other Meat, Poultry, and Fish Processing Workers","38350"
Miscellaneous Food Processing Workers,"40140"
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic","46600"
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic","44950"
"Metal Furnace Operators, Tenders, Pourers, and Casters","53460"
"Model Makers and Patternmakers, Metal and Plastic","60450"
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic","42270"
"Welding, Soldering, and Brazing Workers","52240"
Miscellaneous Metal Workers and Plastic Workers,"45800"
Printing Workers,"44030"
Shoe and Leather Workers,"36850"
"Tailors, Dressmakers, and Sewers","39020"
"Textile Machine Setters, Operators, and Tenders","37370"
"Miscellaneous Textile, Apparel, and Furnishings Workers","44020"
"Model Makers and Patternmakers, Wood","52460"
"Woodworking Machine Setters, Operators, and Tenders","40260"
"Power Plant Operators, Distributors, and Dispatchers","98190"
Miscellaneous Plant and System Operators,"80000"
"Chemical Processing Machine Setters, Operators, and Tenders","55700"
"Crushing, Grinding, Polishing, Mixing, and Blending Workers","47120"
Cutting Workers,"44050"
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,"48590"
Painting Workers,"48200"
Computer Numerically Controlled Tool Operators and Programmers,"53200"
Miscellaneous Production Workers,"42360"
First-Line Supervisors of Transportation and Material Moving Workers,"63860"
Aircraft Pilots and Flight Engineers,"209680"
Air Traffic Controllers and Airfield Operations Specialists,"103140"
Driver/Sales Workers and Truck Drivers,"50810"
Passenger Vehicle Drivers,"46280"
Locomotive Engineers and Operators,"74600"
Ship and Boat Captains and Operators,"94480"
Transportation Service Attendants,"36140"
Laborers and Material Movers,"38400"
Pumping Station Operators,"65320"